PRT_ID,AREA,LATITUDE,LONGITUDE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE,INT_SQFT,
P08160,Adyar,13.0011774,80.2564957,69,1,1,3,Normal Sale,Yes,Others,AllPub,Paved,A,4.6,2.6,2.9,3.35,323214,49725,8287550,1136,
P01372,Anna Nagar,13.0849557,80.2101342,168,2,1,5,Family,Yes,Commercial,ELO,Paved,RL,4.5,4.9,4.9,4.76,742113,212032,21203240,1902,
P00936,Chrompet,12.951611,80.1461663,53,1,1,3,AbNormal,Yes,Others,NoSewr ,Paved,RM,2.8,2.7,4.9,3.39,283544,43622,10905530,1069,
P07346,Chrompet,12.951611,80.1461663,96,1,1,3,AbNormal,Yes,Others,ELO,Paved,RL,4.2,3.1,3.1,3.43,248021,27558,9185970,931,
P06851,KK Nagar,13.0410013,80.1993919,114,3,2,5,Partial,No,Others,NoSewr ,Gravel,RH,3.4,4.5,3.4,3.73,327762,262210,10925400,2010,
P04665,Chrompet,12.951611,80.1461663,100,1,1,3,AbNormal,No,Others,NoSewr ,Gravel,RL,3,3.4,4.9,3.73,288821,86646,9627380,1074,
P00902,T Nagar,13.0417591,80.2340761,111,2,1,5,AdjLand,No,Others,NoSewr ,No Access,RH,4.1,4.4,2.8,3.59,487297,167073,13922760,1972,
P00293,T Nagar,13.0417591,80.2340761,105,1,1,4,Family,No,House,NoSewr ,Gravel,RM,2.8,4.4,4,3.74,352830,176415,12601080,1685,
P02235,Adyar,13.0011774,80.2564957,29,1,1,3,Family,Yes,Commercial,ELO,Paved,RH,2.3,2.5,2.2,2.29,468417,53533,13383350,1130,
P04080,Karapakkam,12.9190519,80.2300343,59,1,1,3,Normal Sale,Yes,Others,NoSewr ,Gravel,C,2.8,2.7,3.8,3.17,357283,71457,7939625,1301,
P02677,Adyar,13.0011774,80.2564957,185,1,1,2,AdjLand,Yes,House,ELO,Gravel,RL,2.7,4.6,4.9,4.18,265449,53090,8848285,730,
P00755,T Nagar,13.0417591,80.2340761,138,2,1,5,Family,No,House,NoSeWa,Paved,RH,4.1,5,3,3.83,430852,113382,11338200,1806,
P06980,Anna Nagar,13.0849557,80.2101342,173,2,1,5,AdjLand,No,House,ELO,No Access,RL,2,3.1,3.2,2.755,373300,218831,12872430,1981,
P02696,Adyar,13.0011774,80.2564957,15,1,1,3,Normal Sale,No,Others,NoSeWa,Gravel,RL,2.3,2.1,2,2.11,325514,72336,9042050,868,
P01517,T Nagar,13.0417591,80.2340761,117,1,1,4,AdjLand,Yes,Others,ELO,Paved,RM,2,2.8,2.9,2.605,416483,223116,14874380,1721,
P09650,Velachery,12.9754605,80.2207047,16,2,1,4,AdjLand,Yes,Others,AllPub,Gravel,A,4.8,4.5,4.5,4.58,306671,173780,10222380,1755,
P05950,Anna Nagar,13.0849557,80.2101342,130,1,1,4,Family,No,Others,NoSeWa,Gravel,RH,4.8,3.2,4.3,4.2,452501,90500,12928590,1709,
P05051,KK Nagar,13.0410013,80.1993919,46,3,2,5,AdjLand,Yes,Commercial,NoSeWa,Gravel,RH,2.7,3,3.9,3.27,632334,281037,17564820,2114,
P04978,Karapakkam,12.9190519,80.2300343,180,1,1,3,Normal Sale,No,House,AllPub,Paved,A,4,3.7,4.7,4.19,154109,114339,4971250,1226,
P03704,Velachery,12.9754605,80.2207047,111,2,1,4,Family,Yes,Others,NoSeWa,Paved,C,4.3,2.9,2,2.98,275120,82536,9170660,1648,
P02247,Chrompet,12.951611,80.1461663,36,1,1,3,AdjLand,Yes,Others,NoSewr ,Gravel,RM,2.1,3.6,3.5,3.12,332269,103834,10383420,856,
P07194,Adyar,13.0011774,80.2564957,52,1,1,3,AdjLand,No,Commercial,ELO,No Access,RM,3.8,3.2,2.6,3.08,348042,23203,11601400,904,
P01107,Chrompet,12.951611,80.1461663,105,1,1,3,Normal Sale,No,Others,AllPub,No Access,RH,3.9,3.4,4.4,3.85,255727,98991,8249260,1198,
P02442,Karapakkam,12.9190519,80.2300343,16,1,1,3,AdjLand,No,Commercial,AllPub,Paved,A,4,4.2,2.4,3.42,291669,166668,6944500,931,
P06444,Karapakkam,12.9190519,80.2300343,86,1,1,3,AdjLand,Yes,House,AllPub,Paved,RH,3.1,2.1,4.1,3.2,364015,92940,7745000,1290,
P05298,Karapakkam,12.9190519,80.2300343,49,1,1,2,AbNormal,Yes,House,ELO,Gravel,RH,2.6,4.6,4.6,4,252032,74464,5728000,507,
P05882,KK Nagar,13.0410013,80.1993919,113,4,2,6,Ab Normal,No,Commercial,NoSeWa,Paved,RL,4.3,4.6,3.8,4.19,917550,224706,18725520,2492,
P02558,Karapakkam,12.9190519,80.2300343,105,1,1,2,Partial,No,House,AllPub,No Access,C,4,3.8,2.5,3.34,167896,39295,3572250,851,
P09483,T Nagar,13.0417591,80.2340761,189,2,1,5,AbNormal,Yes,Others,ELO,Gravel,RM,3.9,4.5,4.7,4.366666667,433393,272877,16051580,1882,
P06006,Anna Nagar,13.0849557,80.2101342,15,1,1,4,Normal Sale,Yes,Commercial,AllPub,Gravel,RH,2.7,4,2.2,2.825,808639,161728,20215970,1710,
P04106,Karapakkam,12.9190519,80.2300343,28,2,2,4,AdjLand,No,House,ELO,Gravel,RL,4.1,2.9,3.1,3.34,251370,192717,8379000,1412,
P09556,Adyar,13.0011774,80.2564957,51,1,1,2,Normal Sale,No,House,NoSewr ,No Access,C,3.6,4.4,2.4,3.16,190463,31744,5290635,779,
P00389,T Nagar,13.0417591,80.2340761,19,1,1,4,AbNormal,No,Others,AllPub,Gravel,RH,2.1,4.3,3.9,3.46,376468,238430,12548930,1655,
P05245,Karapakkam,12.9190519,80.2300343,167,1,1,3,AdjLand,No,House,AllPub,Paved,RH,2.7,2.7,4.1,3.26,263599,64435,5857750,940,
P01690,KK Nagar,13.0410013,80.1993919,126,2,1,4,Partial,Yes,House,NoSeWa,Paved,RM,4.8,2.1,5,4.07,364810,268243,10729700,1667,
P07753,KK Nagar,13.0410013,80.1993919,49,3,2,5,Family,Yes,Commercial,NoSeWa,Paved,RM,3.1,2.9,4.7,3.68,816325,153061,17006780,1926,
P08611,Adyar,13.0011774,80.2564957,75,1,1,2,Partial,Yes,Others,ELO,No Access,C,2,3.9,3.4,3.08,211662,55701,5570050,718,
P01934,Karapakkam,12.9190519,80.2300343,154,1,1,2,Partial,No,Others,ELO,No Access,RH,3.1,2.2,3.4,2.95,165738,88651,3854375,545,
P06326,Karapakkam,12.9190519,80.2300343,25,1,1,3,AdjLand,Yes,Others,ELO,Gravel,RH,2.8,3.7,3.5,3.35,318010,120328,8594875,1249,
P00865,T Nagar,13.0417591,80.2340761,187,2,1,5,Partial,Yes,House,NoSewr ,Gravel,RL,2,3.7,4.4,3.505,406478,162591,13549250,1894,
P02088,Karapakkam,12.9190519,80.2300343,200,2,2,4,AbNormal,No,Commercial,NoSewr ,No Access,C,4.7,2,2.4,2.97,284423,132731,9480750,1469,
P07770,Adyar,13.0011774,80.2564957,32,1,1,3,Normal Sale,Yes,House,ELO,No Access,A,3.6,3,3.9,3.63,228053,23390,5847520,916,
P08118,Chrompet,12.951611,80.1461663,11,1,1,3,AdjLand,Yes,House,NoSeWa,Paved,RM,3.4,4,3.8,3.76,310749,58265,9710900,934,
P03221,Karapakkam,12.9190519,80.2300343,100,2,2,4,AbNormal,No,House,NoSeWa,Gravel,RM,4,3.9,3.5,3.77,319558,178576,9398750,1691,
P03273,Karapakkam,12.9190519,80.2300343,36,1,1,3,Normal Sale,No,Commercial,NoSewr ,Paved,I,3.3,3.3,2,2.78,334638,114481,8806250,1236,
P08667,T Nagar,13.0417591,80.2340761,23,1,1,4,Partial,Yes,Others,NoSeWa,Paved,RH,3.8,4.7,3.9,4.07,302183,193397,12087330,1577,
P03791,Anna Nagar,13.0849557,80.2101342,13,2,1,5,Partial,Yes,Others,NoSeWa,Gravel,RH,4.6,2.3,4.5,3.985,354391,170107,14175620,1915,
P01247,Anna Nagar,13.0849557,80.2101342,154,1,1,4,Family,Yes,House,ELO,Gravel,RH,3.9,2.7,2.5,3.04,309941,166891,11920820,1600,
P02391,Velachery,12.9754605,80.2207047,58,2,1,4,AbNormal,Yes,Commercial,ELO,Paved,I,4.6,2.3,2.3,2.88,467766,240565,13364730,1579,
P07825,Adyar,13.0011774,80.2564957,89,2,2,4,Partial,No,Others,NoSeWa,No Access,A,3.8,4.1,4.5,4.21,256150,34615,6922975,1260,
P05787,Adyar,13.0011774,80.2564957,176,1,1,3,Normal Sale,No,Commercial,NoSeWa,Paved,I,3.5,4.8,2.5,3.26,361868,175098,11673175,1021,
P02285,KK Nagar,13.0410013,80.1993919,48,3,2,5,Family,Yes,Others,AllPub,Paved,RM,2.9,2.1,2.3,2.42,548929,313674,13069740,2174,
P05304,Anna Nagar,13.0849557,80.2101342,39,1,1,4,Partial,No,Others,AllPub,Gravel,RL,2.1,2.5,4.5,3.16,451857,85486,12212350,1589,
P05309,Adyar,13.0011774,80.2564957,177,1,1,2,AbNormal,Yes,Commercial,NoSeWa,Gravel,I,4.9,2.9,3.5,3.8,329074,102836,10283575,668,
P09664,Velachery,12.9754605,80.2207047,116,2,1,4,AbNormal,Yes,House,ELO,No Access,RL,3.8,2.2,2,2.54,358259,152260,8956480,1724,
P02813,Adyar,13.0011774,80.2564957,116,1,1,3,AbNormal,Yes,House,NoSewr ,Paved,C,2.5,4.7,5,4.19,251557,43124,7187350,890,
P08933,Adyar,13.0011774,80.2564957,51,2,2,4,Normal Sale,No,Commercial,AllPub,No Access,I,4.7,3.9,3.3,3.84,377246,138323,12574850,1218,
P03590,Anna Nagar,13.0849557,80.2101342,41,1,1,4,Family,Yes,House,ELO,Gravel,RM,2.7,2.6,2,2.395,514532,250313,13906270,1792,
P01725,Karapakkam,12.9190519,80.2300343,192,2,2,4,AdjLand,No,Others,NoSewr ,Gravel,RM,4.2,2.8,2.6,3.14,297525,208268,9917500,1378,
P06570,Karapakkam,12.9190519,80.2300343,72,1,1,3,Partial,Yes,Commercial,NoSewr ,Paved,RH,2.4,3.1,2.1,2.49,345190,215744,8629750,898,
P02686,Anna Nagar,13.0849557,80.2101342,148,2,1,5,Partial,No,House,AllPub,No Access,RH,3.4,4.1,2.4,3.175,466682,105003,11667050,1928,
P07789,Chrompet,12.951611,80.1461663,24,2,1,4,AbNormal,No,House,NoSeWa,Gravel,RM,2.2,2,4.6,2.84,245429,107989,9817150,1233,
P08836,Velachery,12.9754605,80.2207047,100,2,1,4,AdjLand,Yes,Others,NoSewr ,Paved,C,4,4.3,4.1,4.17,370522,92631,9263050,1618,
P02716,Karapakkam,12.9190519,80.2300343,49,1,1,2,Family,No,House,NoSewr ,Gravel,RM,4.3,2.8,2.5,3.13,223975,92225,6587500,627,
P09780,Velachery,12.9754605,80.2207047,43,2,1,4,Family,No,House,NoSeWa,Gravel,RM,4.7,4.5,2.6,3.98,303780,195987,9799360,1563,
P06528,Karapakkam,12.9190519,80.2300343,187,2,2,4,Normal Sale,Yes,Commercial,NoSewr ,Gravel,C,3.9,2.1,3.9,3.36,384045,166420,12801500,1693,
P06989,T Nagar,13.0417591,80.2340761,85,1,1,4,Partial,No,Commercial,AllPub,Gravel,RL,4.2,3.6,3.5,3.735,506181,174545,17454510,1522,
P07824,Adyar,13.0011774,80.2564957,171,1,1,3,Partial,Yes,Others,NoSeWa,Gravel,RH,3.1,2.7,2.3,2.62,373632,98324,9832420,1090,
P00545,Chrompet,12.951611,80.1461663,149,1,1,3,AbNormal,Yes,Commercial,NoSewr ,Gravel,RL,2.8,3.8,4.6,3.733333333,387815,100545,14363500,1085,
P06461,T Nagar,13.0417591,80.2340761,73,1,1,4,AbNormal,No,Others,NoSewr ,Paved,RH,4.6,4.6,2,3.43,411733,224582,12476770,1687,
P07650,Adyar,13.0011774,80.2564957,62,1,1,2,Normal Sale,Yes,Commercial,AllPub,Paved,RH,4.1,4.4,5,4.61,394491,124576,10381355,692,
P07887,T Nagar,13.0417591,80.2340761,145,1,1,4,Family,Yes,Commercial,AllPub,Paved,RH,3.7,3.5,4.1,3.83,457606,158402,17600240,1518,
P08050,Adyar,13.0011774,80.2564957,125,1,1,3,Partial,No,Commercial,NoSeWa,Paved,I,2.5,2.5,2.7,2.6,349916,142153,10934875,1025,
P04677,KK Nagar,13.0410013,80.1993919,121,3,2,5,Family,Yes,House,NoSewr ,Gravel,RL,3.7,4.6,4,4.09,593864,284560,12372160,2170,
P03124,Chrompet,12.951611,80.1461663,70,1,1,3,Family,Yes,Commercial,ELO,No Access,RH,3.4,2.4,4,3.18,337463,146234,11248750,969,
P08147,KK Nagar,13.0410013,80.1993919,129,2,1,4,AbNormal,No,Commercial,AllPub,Gravel,RM,2.5,4.3,2.8,3.16,441475,142411,14241140,1546,
P06097,KK Nagar,13.0410013,80.1993919,6,2,1,4,AbNormal,Yes,House,NoSeWa,Paved,RL,4.3,3.7,2,3.2,467388,233694,10160600,1709,
P00959,T Nagar,13.0417591,80.2340761,103,1,1,4,AdjLand,Yes,Others,NoSeWa,No Access,RL,3.8,2.3,3.8,3.425,433251,216625,13539080,1659,
P00057,Chrompet,12.951611,80.1461663,8,1,1,2,Normal Sale,No,Commercial,ELO,Gravel,RM,3.8,4.4,2.7,3.71,289649,42911,10727750,755,
P08607,Adyar,13.0011774,80.2564957,50,1,1,3,Normal Sale,Yes,House,AllPub,No Access,RL,3.2,3.5,3.1,3.21,374948,39468,9867055,1182,
P01632,Adyar,13.0011774,80.2564957,67,1,1,2,AdjLand,No,Commercial,NoSeWa,No Access,RH,2.7,4,4,3.61,284361,132702,9478710,735,
P00937,Chrompet,12.951611,80.1461663,0,1,1,3,Normal Sale,Yes,House,ELO,Paved,RL,2.7,2.9,3.1,2.9,235305,45251,9050200,1089,
P09868,Velachery,12.9754605,80.2207047,6,2,1,4,Partial,Yes,Others,ELO,Paved,C,4.7,4.6,2.3,3.94,284552,63234,7904210,1534,
P08848,Anna Nagar,13.0849557,80.2101342,147,1,1,4,Family,Yes,House,ELO,Gravel,RL,4.4,3.7,4.2,4.145,378840,209015,13063450,1622,
P07681,KK Nagar,13.0410013,80.1993919,71,3,2,5,Partial,Yes,Others,NoSewr ,Gravel,RM,4.8,4.2,3.9,4.26,679249,122265,13584980,2198,
P00407,Chrompet,12.951611,80.1461663,34,2,1,4,Normal Sale,No,Commercial,ELO,No Access,RL,3.1,2.2,3.8,2.95,419714,157393,13116050,1293,
P06126,KK Nagar,13.0410013,80.1993919,178,2,1,4,Partial,No,Others,AllPub,Gravel,RL,4.6,4.4,3.1,3.94,460580,190239,10012600,1641,
P09763,Velachery,12.9754605,80.2207047,185,3,2,5,AdjLand,Yes,Others,NoSeWa,Paved,RL,5,4.2,3.4,4.16,411601,84741,12105920,1950,
P02652,Karapakkam,12.9190519,80.2300343,106,1,1,3,Partial,No,Others,NoSeWa,Paved,A,4.1,2.9,3.5,3.5,201653,113123,4918375,1245,
P06329,Chrompet,12.951611,80.1461663,144,1,1,3,Family,No,Others,ELO,Gravel,RH,3.8,3.5,4,3.74,223393,77032,7703200,905,
P01701,KK Nagar,13.0410013,80.1993919,135,2,1,4,Family,No,House,NoSewr ,Gravel,RH,3.2,3.8,2.8,3.22,265641,137105,8569080,1496,
P09722,Velachery,12.9754605,80.2207047,38,3,2,5,AdjLand,Yes,House,ELO,Gravel,RM,3.9,3.5,4.8,3.99,449425,133613,12146620,1892,
P04743,Velachery,12.9754605,80.2207047,40,2,1,4,Family,No,Commercial,ELO,Paved,C,4,4.6,2.9,3.94,408507,116716,11671620,1517,
P06768,Adyar,13.0011774,80.2564957,73,1,1,3,AdjLand,Yes,Others,ELO,Gravel,C,3.8,3.3,3.5,3.533333333,277702,46284,9256740,1034,
P06746,Velachery,12.9754605,80.2207047,142,2,1,4,Family,Yes,Commercial,NoSewr ,Gravel,I,4.6,4,3.9,4.12,581720,193907,14915900,1755,
P00934,Anna Nagar,13.0849557,80.2101342,79,1,1,4,AdjLand,Yes,House,NoSeWa,Paved,RM,2.2,3.3,2.2,2.475,406434,243860,13547790,1622,
P00899,Chrompet,12.951611,80.1461663,89,1,1,3,Normal Sale,No,Others,AllPub,No Access,RH,2.4,2.4,2,2.28,246391,57491,8213040,1092,
P00566,Chrompet,12.951611,80.1461663,34,1,1,3,AdjLand,No,House,NoSeWa,Paved,RH,3.4,4.6,2.9,3.73,182600,65736,7304000,821,
P07878,KK Nagar,13.0410013,80.1993919,72,2,1,4,Family,No,Others,NoSeWa,Gravel,RL,4,2,3.9,3.36,353291,114300,10390900,1694,
P05305,Anna Nagar,13.0849557,80.2101342,177,2,1,5,Family,No,Commercial,AllPub,No Access,RL,3,3.5,2,2.725,518585,230482,19206870,1809,
P02252,Karapakkam,12.9190519,80.2300343,20,2,2,4,Partial,Yes,Others,AllPub,Gravel,RL,3.8,4.3,4,4.03,438477,229204,9965375,1401,
P03571,Karapakkam,12.9190519,80.2300343,99,2,2,4,AbNormal,No,Others,NoSewr ,No Access,RH,3.1,3,3.1,3.07,302694,172968,7207000,1470,
P00942,Chrompet,12.951611,80.1461663,166,1,1,2,Partial,No,Commercial,NoSewr ,Paved,RH,2.3,2.6,3.6,2.81,253975,145129,9070550,798,
P08304,Chrompet,12.951611,80.1461663,137,1,1,2,Partial,No,House,ELO,No Access,RH,3.3,3.2,2.1,2.9,158766,90723,5670200,764,
P07597,Chrompet,12.951611,80.1461663,50,1,1,3,AbNormal,No,Others,NoSewr ,No Access,RM,4.9,2.1,3.8,3.45,296102,148051,9253200,1135,
P06565,Karapakkam,12.9190519,80.2300343,74,1,1,3,AbNormal,No,House,ELO,No Access,I,4.9,3.7,3.3,3.9,214700,38646,4294000,939,
P06398,Karapakkam,12.9190519,80.2300343,59,2,2,4,Normal Sale,Yes,Commercial,NoSewr ,Gravel,RM,3.9,3,4.5,3.87,586956,200424,14316000,1586,
P09293,T Nagar,13.0417591,80.2340761,63,2,1,5,Family,Yes,Commercial,AllPub,Gravel,RM,2.6,2.9,4.9,3.71,885666,116535,23307000,1973,
P09021,Chrompet,12.951611,80.1461663,44,1,1,3,Partial,Yes,House,AllPub,Pavd,RM,3,2.8,3.6,3.1,282319,38941,9735150,1023,
P04325,Chrompet,12.951611,80.1461663,75,1,1,3,Normal Sale,No,Commercial,NoSewr ,No Access,RM,2.3,3.8,2.4,2.93,283410,45346,11336400,884,
P05031,Anna Nagar,13.0849557,80.2101342,113,1,1,4,AdjLand,No,Commercial,ELO,No Access,RH,2.5,3.1,3.5,3.05,495645,194718,17701600,1640,
P08918,Adyar,13.0011774,80.2564957,60,1,1,2,Normal Sale,No,Others,ELO,No Access,RL,2.7,4.9,3.5,3.54,216906,72302,6572900,622,
P05947,Anna Nagar,13.0849557,80.2101342,90,2,1,5,Partial,Yes,House,NoSeWa,No Access,RM,3.2,4.2,4,3.77,483229,214768,13423020,1880,
P05350,KK Nagar,13.0410013,80.1993919,166,4,2,6,AbNormal,No,Others,NoSeWa,Paved,RM,2.5,2.4,2.9,2.63,419905,170587,13122040,2413,
P07092,T Nagar,13.0417591,80.2340761,169,1,1,4,AdjLand,No,Commercial,AllPub,Gravel,RH,2.1,2,4.6,3.2,681808,113635,18939100,1649,
P08337,Velachery,12.9754605,80.2207047,144,2,1,4,Partial,Yes,Commercial,NoSewr ,Paved,A,3.3,4,4,3.83,396911,128036,12803570,1729,
P00089,T Nagar,13.0417591,80.2340761,10,2,1,5,Family,No,House,NoSeWa,Gravel,RH,4.6,3.1,2.9,3.533333333,320599,61654,12330740,1942,
P00403,Chrompet,12.951611,80.1461663,116,1,1,2,AdjLand,Yes,Others,NoSeWa,No Access,RL,2.6,3.2,2.8,2.9,249558,64402,8050270,711,
P00717,Chrompet,12.951611,80.1461663,122,1,1,3,Family,No,House,ELO,No Access,RM,4.6,2.7,2.1,3.09,237422,107919,7194600,885,
P06064,KK Nagar,13.0410013,80.1993919,148,2,1,4,AbNormal,Yes,House,NoSewr ,Gravel,RM,2,2.5,4.4,3.11,547810,285318,11412700,1688,
P08625,Adyar,13.0011774,80.2564957,108,2,2,4,Family,No,Commercial,ELO,Gravel,A,3.7,3.5,4.4,4.01,481414,24071,12035355,1236,
P02917,Karapakkam,12.9190519,80.2300343,98,1,1,3,Family,No,House,ELO,Gravel,RL,4.3,4.8,2.9,3.89,288834,68770,6877000,926,
P06881,KK Nagar,13.0410013,80.1993919,57,2,1,4,AbNormal,No,Others,NoSeWa,Paved,RM,3.2,2.7,3.9,3.33,382817,196582,10346400,1686,
P05823,Karapakkam,12.9190519,80.2300343,129,2,2,4,AdjLand,No,Commercial,NoSewr ,Gravel,RH,4.6,4.2,3.3,3.96,453999,259428,10809500,1344,
P01492,KK Nagar,13.0410013,80.1993919,104,2,1,4,Family,No,Others,AllPub,Gravel,RM,3.8,4.6,2.6,3.56,489629,102006,10200600,1437,
P06226,Karapakkam,12.9190519,80.2300343,17,2,2,4,AbNormal,Yes,Others,NoSewr ,No Access,A,4.3,3.2,3.8,3.766666667,238887,106172,6635750,1430,
P07481,Adyar,13.0011774,80.2564957,85,1,1,3,Family,No,House,AllPub,No Access,C,3.5,3.1,3.2,3.27,241416,6190,6190150,1081,
P05518,Karapakkam,12.9190519,80.2300343,1,2,2,4,Normal Sale,Yes,House,ELO,Gravel,A,3,2,3.5,2.9,240768,123638,6507250,1352,
P06801,KK Nagar,13.0410013,80.1993919,109,3,2,5,Normal Sale,No,House,AllPub,Gravel,RM,4.9,3.6,4.6,4.39,476717,227008,11350400,1986,
P07373,Anna Nagar,13.0849557,80.2101342,164,1,1,4,Partial,Yes,Commercial,AllPub,No Access,RL,3.5,2.9,4,3.55,713565,231426,19285540,1758,
P04399,Karapakkam,12.9190519,80.2300343,121,1,1,2,Normal Sale,No,Other,NoSeWa,Gravel,RL,4.2,4.9,2.2,3.61,175699,117133,5856625,607,
P07490,KK Nagar,13.0410013,80.1993919,136,3,2,5,Normal Sale,Yes,Others,NoSewr ,Paved,RL,2.3,4.1,2.4,2.88,424048,249440,12472000,2139,
P05417,KK Nagar,13.0410013,80.1993919,97,2,1,4,Partial,No,Others,AllPub,Paved,RH,2.3,5,4.1,3.83,405211,202606,8441900,1488,
P09702,Velachery,12.9754605,80.2207047,96,2,1,4,Partial,No,House,NoSeWa,No Access,RH,3.7,4.5,2.1,3.58,250118,75793,7579320,1645,
P05869,Chrompet,12.951611,80.1461663,177,1,1,3,Normal Sale,Yes,Others,NoSeWa,Gravel,RL,3.7,2.6,3.4,3.17,273252,146385,9759000,950,
P00534,Chrompet,12.951611,80.1461663,90,1,1,3,Partial,Yes,Commercial,AllPub,Gravel,RH,2.1,3.8,3.7,3.26,409985,62119,12423800,928,
P07334,Velachery,12.9754605,80.2207047,145,2,1,4,Normal Sale,Yes,Commercial,NoSewr ,Paved,RM,4.1,2.7,4.1,3.47,604335,108470,15495760,1693,
P08511,Velachery,12.9754605,80.2207047,0,3,2,5,Family,Yes,Others,ELO,No Access,RL,4.8,3.4,3.9,3.9,363735,198401,11022270,1873,
P04112,Adyar,13.0011774,80.2564957,145,1,1,2,Partial,No,Others,NoSeWa,Paved,RL,3.4,2.8,4.6,3.88,273800,60844,7605550,721,
P02262,Karapakkam,12.9190519,80.2300343,37,1,1,3,Family,Yes,House,NoSewr ,Gravel,RH,4.3,4.1,3.8,4.04,342613,127484,7967750,1190,
P03305,KK Nagar,13.0410013,80.1993919,9,2,1,4,Partial,No,Others,AllPub,Paved,RH,3.2,3.2,4.2,3.6,402606,223670,8946800,1593,
P05447,Chrompet,12.951611,80.1461663,181,1,1,2,AbNormal,Yes,Others,ELO,Gravel,RL,4.4,4.8,4.3,4.53,249610,83203,9244820,786,
P02126,Chrompet,12.951611,80.1461663,93,1,1,3,AdjLand,No,Others,NoSeWa,Paved,RL,3,4.7,3.2,3.74,265183,29465,9821600,1195,
P06964,Velachery,12.9754605,80.2207047,187,3,2,5,Normal Sale,No,House,NoSewr ,Paved,I,3.9,2.3,4.1,3.433333333,273570,76942,8549060,1824,
P08195,KK Nagar,13.0410013,80.1993919,81,3,2,5,AbNormal,Yes,Commercial,NoSeWa,Paved,RH,3.7,4.7,3,3.72,792637,206086,15852740,1906,
